item_id,category,search_status,found_answer,source_url,source_type,confidence,notes
124,MCQ,UNSEARCHED,,,,,
904,MCQ,UNSEARCHED,,,,,
524,MCQ,UNSEARCHED,,,,,
940,MCQ,UNSEARCHED,,,,,
144,MCQ,UNSEARCHED,,,,,
660,MCQ,UNSEARCHED,,,,,
164,MCQ,UNSEARCHED,,,,,
614,MCQ,UNSEARCHED,,,,,
810,MCQ,PARTIAL,C1sinx+C2cosx-xcosx/2,computed,ODE,medium,Resonance. No exact option match.
868,MCQ,GOLD,88,computed,number theory,high,125000+10000=135000. Product divisors=88.
805,MCQ,UNSEARCHED,,,,,
10,MCQ,UNSEARCHED,,,,,
22,MCQ,UNSEARCHED,,,,,
26,MCQ,UNSEARCHED,,,,,
33,MCQ,GOLD,28,https://faculty.sites.iastate.edu/jmccullo/files/inline-files/s08_5.pdf,Putnam 1997,high,Putnam 1997 A-1.
69,MCQ,UNSEARCHED,,,,,
88,MCQ,UNSEARCHED,,,,,
152,MCQ,UNSEARCHED,,,,,
182,MCQ,GOLD,"P(A)=0.5177,P(B)=0.4914",https://mathworld.wolfram.com/deMeresProblem.html,MathWorld,high,
253,MCQ,UNSEARCHED,,,,,
263,MCQ,GOLD,-63/16,https://www.gauthmath.com/solution/1800308107100166/,Gauthmath,high,
274,MCQ,UNSEARCHED,,,,,
284,MCQ,UNSEARCHED,,,,,
290,MCQ,PARTIAL,2(sqrt(3)-1),computed,integral,medium,Domain issue with √(1-lnx).
306,MCQ,GOLD,1,computed,limit,high,
339,MCQ,UNSEARCHED,,,,,
389,MCQ,GOLD,x^2+5x±5,computed,algebra,high,
427,MCQ,UNSEARCHED,,,,,
434,MCQ,UNSEARCHED,,,,,
440,MCQ,GOLD,5/2,https://mast.queensu.ca/~mikeroth/putnam/handouts/week01.pdf,Putnam 1990,high,
442,MCQ,UNSEARCHED,,,,,
474,MCQ,GOLD,248,https://math.stackexchange.com/questions/1991252,MSE,high,
97,FREE,GOLD,"x=0, y=4, r=4",https://homework.study.com/,Homework.Study,high,
108,FREE,GOLD,"A=72, B=12x",computed,double angle,high,
789,FREE,GOLD,"8, 8, -8, -8",trivial,abs,high,
859,FREE,GOLD,"1, 2, 2, 4",computed,quadrants,high,364°→Q1; 118°→Q2; 174°→Q2; 321°→Q4
931,FREE,GOLD,"3, -3",trivial,midpoint,high,
61,FREE,UNSEARCHED,,,,,
601,FREE,GOLD,(2s+1)(3s-1),trivial,factor,high,
9,FREE,UNSEARCHED,,,,,
104,FREE,GOLD,7.7*31*pi/180,computed,arc length,high,≈4.17 units
231,FREE,UNSEARCHED,,,,,
282,FREE,GOLD,e^2,computed,logarithm,high,ln(x⁴)=8→4lnx=8→x=e²
353,FREE,UNSEARCHED,,,,,
535,FREE,GOLD,"-4, -6",computed,factoring,high,x²+10x+24=0→(x+4)(x+6)=0
